AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	AverageLossAC	StdLossAC	MaxLossAC	MinLossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
494.68048	227.00447	721.68494	267.676	762.0225	316.4214	1159.0074	24.776524	595.0	863.4	98000	21614.56	21614.576	1.2549376	1.2682502	5.5753395e-11	2.956907e-11	2.0207427e-10	6.933637e-12	145.20294	52.683193	429.84335	56.67522	383490.12	33602624.0	163.70673	28.755013	762.67035	1750.963770866394
801.99255	158.14853	960.14105	643.844	619.4359	312.65024	916.8077	19.398058	1000.0	805.3	100000	21593.062	21593.053	1.1560311	1.1550074	5.6603347e-11	3.095492e-11	1.8945805e-10	6.3194072e-12	142.10332	54.908405	618.0653	58.918163	385913.44	33815732.0	154.84879	28.712128	729.78235	1786.9906721115112
749.3721	4.0217896	753.39386	745.3503	709.4953	241.50308	1081.6223	119.9298	1000.0	910.2	102000	21627.035	21627.047	1.0921086	1.1066403	5.849946e-11	3.1514097e-11	1.8880432e-10	4.604775e-12	136.83586	50.19466	473.33414	59.814613	388138.4	34010076.0	141.1073	28.139973	706.9625	1829.3515503406525
422.4248	406.1998	977.03436	12.109757	781.7565	270.11667	1108.9653	42.8697	516.75	902.9	104000	21696.299	21696.352	1.1224641	1.1301724	5.9616444e-11	3.242035e-11	1.9997774e-10	5.920938e-12	133.56094	50.449303	441.25613	57.50701	389354.78	34117308.0	145.27231	30.641064	813.59564	1868.515219449997
640.6921	181.5993	792.3208	385.36728	694.4896	390.5678	1239.6193	31.40572	773.6667	689.9	106000	21772.719	21772.758	1.0897073	1.0955193	5.837068e-11	3.067153e-11	1.9584e-10	5.8074587e-12	128.66109	49.851147	511.16208	55.039352	391803.97	34331908.0	140.12842	30.505575	689.3457	1903.979650735855
781.49744	205.5441	987.04156	575.95337	957.69495	270.49814	1341.1915	366.9933	1000.0	926.3	108000	21809.945	21809.895	1.0542898	1.1056204	5.723184e-11	2.980655e-11	1.9318123e-10	7.0884973e-12	125.16542	47.6292	445.50687	54.965015	393316.84	34463824.0	158.58737	30.83343	720.1556	1947.2667560577393
687.07056	75.04196	762.11255	612.0286	643.78735	362.91763	1126.8035	50.73335	1000.0	623.8	110000	21865.307	21865.336	1.056958	1.0679673	5.813231e-11	3.0149352e-11	1.8884456e-10	5.55129e-12	119.503494	45.332916	420.0941	53.32004	394752.9	34590230.0	159.12544	21.875044	858.9024	1982.387933731079
680.8778	16.99472	697.87256	663.8831	785.90173	268.09314	1084.8124	187.15225	1000.0	918.1	112000	21979.771	21979.822	1.0107939	1.0097444	5.7457504e-11	2.9160674e-11	1.769398e-10	6.495258e-12	118.38459	45.068443	486.85834	53.085827	396175.3	34714724.0	167.1214	30.576014	806.93616	2020.442839384079
1223.5479	192.12506	1415.673	1031.4229	501.85538	360.41068	931.1731	56.723988	1000.0	511.0	114000	22133.646	22133.645	1.0556071	1.0770752	5.7292438e-11	2.9820316e-11	2.0183151e-10	5.08697e-12	115.454346	43.13586	413.5051	47.9362	398105.9	34883470.0	156.1023	30.356577	747.3077	2055.415426015854
637.32056	361.57272	1168.7706	152.54306	476.02972	373.21597	1004.45276	19.24487	482.25	481.6	116000	22298.066	22297.99	1.0977651	1.115274	5.690648e-11	2.9255254e-11	1.8665224e-10	5.321098e-12	113.20338	43.55815	450.5934	50.095436	399385.34	34995748.0	154.96233	32.365143	864.17566	2088.7201206684113
