AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	AverageLossAC	StdLossAC	MaxLossAC	MinLossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
268.53992	186.08571	743.42084	119.95201	271.06573	99.49014	451.15314	131.4777	198.45454	212.7	96000	107.366806	107.36783	12.087982	11.866779	3.157305e-11	1.598836e-11	1.1550492e-10	4.152289e-12	1374.747	550.2609	6228.5913	477.34933	14181.538	226018.97	577.84143	13.90859	1360.0496	947.7473249435425
274.18326	168.9135	597.37384	68.00596	423.68146	133.01364	730.16174	230.85927	310.5	239.1	98000	106.881714	106.88159	12.256669	11.977701	3.1728228e-11	1.5721527e-11	1.0761927e-10	4.8759655e-12	1373.117	558.47797	4846.3623	545.1148	14317.318	228183.02	513.8167	11.684576	881.30316	969.9722833633423
290.99057	117.30241	429.93222	74.1731	232.72966	127.21604	434.9576	30.129965	210.5	177.3	100000	106.47576	106.47529	12.074369	11.909115	3.3113807e-11	1.6281032e-11	1.0595519e-10	4.200383e-12	1275.2966	525.4596	5797.397	496.64615	14145.0	225436.69	508.52368	11.537377	1116.9344	990.2033221721649
231.37442	138.58755	492.2141	19.197458	8.175348	1.3278477	11.347913	6.328885	140.21428	30.1	102000	105.91658	105.9161	12.652787	12.380334	3.227262e-11	1.6456584e-11	1.1321357e-10	4.2959564e-12	1271.0885	562.81915	5315.505	483.051	14615.131	232929.45	617.33453	10.710285	1124.4563	1008.5615818500519
98.567154	134.33267	489.76	3.5026863	227.92874	89.46339	400.20462	143.21158	73.65385	141.2	104000	105.45965	105.460175	13.4254465	12.937763	3.1308667e-11	1.5595476e-11	1.2320957e-10	3.6121702e-12	1260.8429	542.4865	5582.7534	430.4089	15069.028	240163.45	609.58356	12.394474	1285.0913	1027.4905791282654
279.13626	140.80212	606.32416	108.920746	263.5578	109.322334	430.9293	94.14348	162.53847	179.7	106000	104.860504	104.86118	13.174398	12.630733	3.1966926e-11	1.5895686e-11	9.596233e-11	3.6706007e-12	1197.0569	482.32898	4435.545	442.82166	14884.203	237217.81	623.098	12.131121	978.2015	1048.1399881839752
259.73682	160.88237	604.4468	66.39597	290.14532	186.04399	797.0286	132.38893	169.8	139.3	108000	104.65818	104.65749	12.812455	12.380862	3.186888e-11	1.5861099e-11	1.07047614e-10	4.277676e-12	1193.4075	466.54315	4715.281	448.05597	14921.714	237815.69	680.35315	12.024109	1288.7935	1066.3462805747986
301.61252	217.79752	669.5696	-55.415226	175.19635	214.09029	560.7135	-80.85451	227.5	259.2	110000	104.4911	104.49106	12.880598	12.249919	3.1780616e-11	1.608472e-11	1.03538234e-10	4.088725e-12	1193.8573	481.10144	4388.2866	446.56046	15422.86	245802.9	771.8683	13.014477	922.98096	1088.2204627990723
265.37085	123.06288	533.1492	61.21643	341.31198	246.87645	757.4786	51.59748	170.08333	225.3	112000	104.59214	104.59173	13.04496	12.526613	3.2538652e-11	1.657942e-11	1.093148e-10	5.489771e-12	1139.1144	428.1792	3524.3281	412.5375	15312.369	244041.89	723.09357	13.361531	1308.8347	1107.4996066093445
289.64136	178.55347	750.3356	80.68472	272.57755	162.19707	535.83954	60.66237	198.7	199.1	114000	104.83486	104.83359	13.742227	13.277424	3.275942e-11	1.631118e-11	1.0538124e-10	3.7997396e-12	1149.8688	471.4102	4107.5786	457.87964	15430.118	245918.52	789.0162	12.87988	965.8275	1128.8432607650757
