AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
-50.12022	198.1185	91.54123	-683.0471	-537.02313	811.8226	33.044037	-1976.8245	167.91667	330.9	235999	5575.0723	55195.957	131.9893	-72.49531	-56.825306	20.444723	1703.8704798221588
-259.7234	449.07944	15.977092	-1224.7443	51.706215	86.73557	187.29092	-128.84927	262.83334	191.0	237999	5540.977	54858.395	134.7041	-72.31241	-56.511623	21.677835	1717.3354132175446
-48.527615	160.57939	85.290695	-400.0741	14.864935	109.90181	144.09706	-272.53665	306.16666	229.8	239999	5459.6616	54053.395	132.39726	-71.78581	-55.656403	21.733559	1727.1615414619446
-491.12704	793.0389	134.9474	-1906.6854	2.3709168	21.279118	40.48131	-29.50087	511.4	56.1	241999	5361.5186	53081.81	133.2468	-73.620415	-54.727478	20.83605	1738.0841736793518
-571.72577	819.0762	22.011461	-1729.9513	-357.47202	697.67316	93.56692	-1926.8271	354.33334	367.3	243999	5164.1997	51128.54	131.1375	-73.72576	-52.763935	21.320126	1750.8120474815369
-1083.8344	805.67957	50.619175	-1742.9352	20.119656	38.271225	56.44374	-69.53593	715.0	127.9	245999	4905.736	48570.066	133.64825	-76.822525	-50.161343	21.963524	1761.598107099533
-211.16176	452.60196	77.763565	-1447.2128	-286.15887	572.50684	51.79067	-1592.6312	298.55554	320.4	247999	4787.149	47396.266	131.55351	-77.8378	-48.971638	21.307402	1773.7086572647095
78.43463	50.24547	140.2682	6.5241528	40.956932	109.80015	271.17615	-157.56133	231.0	212.7	249999	4767.6284	47203.09	131.00847	-79.36387	-48.798626	21.668165	1786.2784676551819
-10.603221	206.41588	218.097	-597.383	-120.35305	527.594	291.11465	-1637.4993	291.3	346.3	251999	4732.0903	46851.297	131.66547	-81.80819	-48.48735	22.270996	1798.9473869800568
80.15977	50.584927	150.04803	-4.3975997	79.214165	98.03185	330.43362	-11.044747	273.0	160.5	253999	4860.5264	48122.645	130.15465	-82.53	-49.822563	23.025356	1810.6357817649841
-588.222	874.5592	63.177895	-1824.4377	-355.61823	900.5935	310.67398	-2646.6497	385.33334	475.4	255999	4925.426	48765.08	131.26758	-82.40219	-50.460274	21.630238	1824.9226100444794
-160.92027	403.62796	117.7815	-1202.2347	-220.46481	702.79956	330.163	-1627.186	338.125	552.9	257999	4929.242	48802.867	129.3368	-81.90707	-50.486137	21.055489	1842.260061264038
-331.6505	703.1924	178.40114	-1718.5664	-357.5875	490.1596	22.486494	-1225.02	440.4	362.8	259999	4921.4463	48725.75	129.00127	-80.75332	-50.385555	20.25779	1854.6426560878754
