AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
529.1758	348.48978	776.0327	36.33707	433.0522	323.12564	804.57043	58.01745	675.6667	570.1	63999	2092.894	20719.725	45.873436	-41.377296	2092.827	20719.059	47.127544	-40.003796	-22.353191	1.669509	1.641875	573.9578721523285
584.858	211.49805	767.55524	288.41565	634.09503	289.106	868.366	57.54838	816.3333	811.0	65999	2152.76	21312.395	47.784164	-33.906296	2152.7192	21311.992	46.263653	-33.766434	-22.939404	1.6770645	1.6664461	595.9688191413879
473.9622	295.60812	711.12195	57.233578	489.41095	353.63416	824.5145	22.052166	684.6667	635.7	67999	2216.9285	21947.66	45.94819	-37.789055	2216.881	21947.191	47.131756	-32.5461	-23.539497	1.6486119	1.6447952	616.9192910194397
416.05493	264.05014	680.1051	152.00479	354.48273	319.60144	769.48663	16.075716	645.0	542.8	69999	2280.3755	22575.787	47.124363	-54.86572	2280.3198	22575.234	46.57515	-43.150158	-24.159866	1.6667622	1.6657175	635.381267786026
242.43564	276.07562	738.2505	8.705122	296.7793	316.6411	694.5131	-8.384688	371.57144	438.6	71999	2332.923	23096.008	46.686653	-27.75655	2332.9006	23095.785	49.74498	-29.795502	-24.681929	1.7272657	1.7194804	652.2170641422272
288.96072	266.4154	739.2133	60.426613	270.49265	312.98172	812.5247	2.8972783	394.5	375.4	73999	2384.9272	23610.848	48.074677	-35.08187	2384.9097	23610.674	50.940758	-34.671124	-25.133625	1.754958	1.7546797	668.1742472648621
581.2028	71.53865	652.74146	509.66415	425.7176	296.84344	819.03687	12.055138	1000.0	606.3	75999	2439.5315	24151.434	49.09291	-37.411983	2439.5093	24151.215	54.37873	-36.19151	-25.677351	1.7271731	1.7233083	687.5122017860413
307.67502	285.03885	690.5128	23.33132	419.37363	341.11197	826.49725	3.767531	471.4	550.8	77999	2494.2075	24692.725	50.080124	-38.5834	2494.144	24692.096	49.87708	-35.06141	-26.206976	1.7591146	1.7236314	707.0871593952179
309.34073	332.63968	773.2129	9.650035	418.4205	316.128	778.50336	-11.46909	396.66666	631.4	79999	2548.3586	25228.824	50.322506	-43.781998	2548.3809	25229.043	49.95267	-33.530785	-26.744198	1.771383	1.7546555	727.2089223861694
617.1645	48.326477	665.49097	568.838	520.6074	247.03052	749.865	63.979057	1000.0	763.6	81999	2604.0884	25780.549	48.592358	-36.990337	2604.0486	25780.158	49.186954	-38.260677	-27.281664	1.7704343	1.7709098	749.1119651794434
212.07835	276.5353	779.24207	-6.475413	277.77252	285.8445	783.4472	7.9922404	272.54544	378.2	83999	2657.0015	26304.393	53.352257	-44.189907	2656.9473	26303.857	51.90636	-38.91552	-27.802448	1.8888266	1.8509271	765.1862332820892
435.15417	159.23735	594.39154	275.91684	371.8261	337.37057	801.97894	18.46704	812.5	517.6	85999	2700.4417	26734.453	53.837738	-45.751553	2700.3818	26733.861	52.906147	-41.693424	-28.223372	1.8844755	1.8519477	784.0322148799896
495.00406	237.426	784.8414	203.27803	430.6376	348.4227	960.4667	5.761847	740.3333	563.9	87999	2736.6313	27092.734	54.910763	-48.628212	2736.643	27092.852	52.251812	-42.938908	-28.550287	1.8293178	1.8176717	803.7932431697845
458.087	282.20364	676.2018	59.585674	544.34155	291.78354	826.16003	15.111966	684.0	748.0	89999	2763.702	27360.742	53.58487	-45.67865	2763.6265	27359.992	51.87373	-36.95279	-28.81873	1.8620878	1.8343235	824.4145133495331
697.39197	15.753204	713.14514	681.63873	498.34073	348.97018	848.72253	46.508373	1000.0	633.9	91999	2803.4075	27753.83	53.699173	-42.3778	2803.3901	27753.66	56.1927	-42.28793	-29.221851	1.8664781	1.8421694	843.7588577270508
