AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
470.45605	143.98901	758.7893	293.57483	789.47986	62.45633	876.9653	646.84155	173.27272	258.7	83999	11861.163	117426.75	221.7061	-73.11217	11861.109	117426.234	231.66966	-74.00148	-123.20093	15.343097	15.0429125	613.3965399265289
524.8036	201.38939	798.5505	215.7788	858.7257	79.16969	990.7336	702.0924	188.6	289.4	85999	12180.626	120589.445	234.20401	-52.64036	12180.467	120587.87	234.82411	-48.69396	-126.63164	17.223598	17.324045	631.4304487705231
317.19785	356.05478	1008.18494	8.002981	455.6176	142.40767	604.5029	229.77196	116.89474	165.1	87999	12433.593	123093.88	240.57707	-60.132427	12433.485	123092.81	244.40198	-47.778088	-129.52415	19.167105	19.44176	648.197005033493
474.26147	285.64008	925.73773	222.13126	840.5763	92.211784	1019.72375	712.5622	186.7	267.1	89999	12827.527	126993.8	244.5587	-57.842754	12827.34	126991.94	244.02464	-66.41645	-133.87425	21.784563	21.584658	665.9108955860138
795.5615	96.35419	992.43463	702.6352	932.3164	83.5233	1053.6105	821.1937	266.42856	299.8	91999	13196.702	130648.625	248.84276	-133.89584	13196.537	130646.99	249.61702	-110.25603	-137.60109	21.154066	21.279669	684.2396557331085
754.057	245.50821	1175.2451	208.16609	284.79898	262.4913	1021.8983	164.32425	246.0	131.0	93999	13594.965	134591.4	251.85718	-63.685287	13594.592	134587.7	251.96815	-71.419235	-141.44753	21.861668	22.113358	699.9876136779785
811.1791	131.90825	1055.2598	623.9872	792.4796	9.958837	808.32715	780.9411	260.7143	250.8	95999	14021.656	138815.61	256.26282	-51.01142	14021.566	138814.72	254.90239	-47.04113	-145.88962	22.140572	22.121042	717.4371359348297
766.64233	45.98491	835.80237	664.91724	472.26538	58.690296	596.80237	430.2748	245.125	187.4	97999	14426.487	142823.4	264.90814	-57.976067	14426.235	142820.89	261.19595	-66.79721	-150.17754	23.824045	24.564215	733.5258445739746
864.0483	93.254715	1008.08575	695.94006	786.9591	14.046533	818.0931	768.22705	277.57144	241.9	99999	14851.19	147027.92	267.63345	-51.72374	14850.928	147025.33	268.97443	-59.544586	-154.51453	23.596329	24.034853	750.36536693573
926.8765	291.71616	1517.4076	453.14313	762.9096	75.39822	984.3691	717.2797	290.25	245.0	101999	15119.174	149681.0	268.62805	-55.590965	15119.146	149680.73	265.37485	-60.954536	-156.59616	23.101854	23.349817	768.4475224018097
754.4321	163.56175	866.74963	331.52588	281.96606	4.6183333	286.85336	273.80307	247.75	110.5	103999	15337.753	151845.0	268.0926	-54.155647	15337.558	151843.08	267.19254	-56.278427	-158.81729	22.299778	22.871872	783.52414727211
550.4936	192.3072	846.1251	242.11734	635.61035	57.379326	755.0894	554.8255	182.18182	195.8	105999	15573.304	154176.97	267.60654	-59.53946	15573.243	154176.38	268.04898	-64.28912	-161.04279	27.096586	26.95761	799.6945605278015
533.8405	110.313995	782.4766	306.33353	744.00116	53.13037	847.00604	693.32245	175.18182	240.1	107999	15787.135	156293.92	261.68704	-104.1768	15787.014	156292.7	269.70242	-110.2362	-163.13852	27.463625	28.043365	816.9282166957855
667.3648	103.0565	839.0945	544.3914	484.13223	234.15936	756.2235	244.82663	217.11111	171.0	109999	16009.37	158494.08	264.7874	-44.998833	16009.148	158491.89	267.31393	-61.405964	-165.60695	26.123405	26.178509	833.4481554031372
341.14334	272.94995	803.32605	38.502323	737.3346	7.444169	747.5439	724.32416	118.333336	224.4	111999	16204.017	160421.12	269.14923	-71.343575	16203.709	160418.08	269.99814	-55.71583	-168.0261	25.498356	25.567476	850.140397310257
714.3827	54.391975	810.7557	618.8038	700.4552	21.5756	737.149	673.7796	221.55556	217.0	113999	16375.296	162116.78	268.34702	-81.91537	16375.287	162116.69	273.71515	-52.915997	-169.55382	26.347113	26.546707	866.3737361431122
776.749	77.01558	907.7399	669.23737	772.27325	15.74988	800.60876	756.1298	239.625	237.8	115999	16533.656	163684.53	268.42798	-71.99497	16533.57	163683.67	268.29916	-57.591118	-170.61516	24.148134	24.100477	884.4096162319183
789.46423	84.032845	916.2254	619.35443	733.0798	10.884552	754.3614	713.6043	242.625	233.7	117999	16616.406	164503.8	274.6819	-59.15246	16616.363	164503.36	277.18826	-67.0052	-172.26338	24.568077	25.053864	901.2079956531525
845.49927	49.184166	930.3758	773.934	1000.0663	105.6066	1197.7216	835.9414	257.875	310.4	119999	16854.02	166856.1	273.3348	-57.854904	16853.893	166854.84	275.1221	-49.569145	-174.51172	23.14815	23.464697	919.0596497058868
832.33563	347.75357	1134.9214	36.77315	799.3997	28.309057	860.9395	770.41675	275.42856	242.0	121999	17151.025	169796.4	275.0206	-63.577023	17150.889	169795.05	274.7697	-88.673225	-177.05144	23.000826	23.239374	936.0379045009613
679.2394	474.84232	1294.2755	29.901659	1302.7965	287.0175	1503.5356	458.00186	219.33333	410.7	123999	17398.258	172243.97	274.0268	-69.33301	17398.277	172244.17	272.30115	-86.55615	-179.20238	22.550838	22.234829	955.6093490123749
744.3493	254.12599	1105.2997	256.81805	978.8216	178.3171	1081.3416	457.9779	243.875	309.5	125999	17621.145	174450.52	278.53503	-69.37624	17620.973	174448.83	279.03195	-61.390797	-181.5686	25.779934	25.592976	973.9843373298645
