AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossV	LossPi	Entropy	KL	TotalEnvInteracts	Time
1020.33203	4.3595276	1024.6915	1015.9725	969.5358	149.32529	1023.55194	521.6479	1000.0	949.2	598.38837	20.748714	655.8787	518.203	7494.8843	-0.027962089	2.4960866	0.0071055456	106000	624.4992661476135
1014.82117	3.899292	1018.72046	1010.9219	1019.51495	2.1941507	1021.6841	1015.89655	1000.0	1000.0	778.8168	10.210794	822.8848	731.6555	2024.7615	-0.010728048	2.394258	0.008282548	108000	642.9816498756409
1010.80664	5.967133	1016.77374	1004.8395	1010.04706	2.5982137	1015.5322	1007.866	1000.0	1000.0	885.25885	8.12086	933.701	857.88666	636.68494	-0.005180924	2.4503741	0.0063785594	110000	658.124213218689
1016.4384	2.2165527	1018.65497	1014.22186	1016.51514	3.253663	1021.56903	1011.1622	1000.0	1000.0	934.5874	11.730911	978.2106	891.9247	236.21548	-0.0051397225	2.4489853	0.008314907	112000	674.0545997619629
1020.03186	1.4090271	1021.4409	1018.62286	1011.4655	17.882652	1021.46014	958.82745	1000.0	993.2	979.9312	9.310541	1019.0265	935.9671	115.189674	-0.0015901378	2.3851473	0.009263297	114000	691.2709286212921
1020.1376	0.12222291	1020.25977	1020.0153	963.8574	166.5544	1023.03564	464.22787	1000.0	943.7	1008.37634	8.67864	1055.1998	977.3455	131.70485	-0.007926851	2.4232795	0.008891587	116000	706.3060767650604
1011.0751	1.053009	1012.1281	1010.0221	1014.579	3.0152175	1020.14716	1008.14215	1000.0	1000.0	1031.8439	5.785869	1062.3748	1013.35425	83.617775	-0.0048788693	2.4161882	0.012357359	118000	721.4512648582458
1008.64417	1.3643494	1010.00854	1007.27985	1006.1986	3.5902584	1014.3409	1000.81	1000.0	1000.0	1037.3607	5.8401413	1065.0732	987.7866	97.06404	-0.0012874291	2.4742374	0.01182411	120000	738.869288444519
1008.04254	1.3705444	1009.4131	1006.672	1003.57117	3.9506006	1010.65704	996.90173	1000.0	1000.0	1035.4595	4.4725633	1061.7203	1008.6085	109.58618	-0.004356059	2.4374886	0.0137571385	122000	755.674437046051
1020.9159	1.9151001	1022.831	1019.0008	1017.5449	2.55964	1023.9425	1013.71625	1000.0	1000.0	1029.981	8.077453	1055.7843	977.289	133.03699	-0.0045836605	2.4642918	0.011929321	124000	773.5831074714661
1006.1261	5.947296	1012.07336	1000.1788	1010.04474	4.3632364	1015.455	1001.9695	1000.0	1000.0	1040.3124	5.7656655	1063.5232	977.2419	106.22611	-0.0040820716	2.382003	0.0100321295	126000	789.5919740200043
1012.53876	1.5390015	1014.07776	1010.99976	1012.68585	3.9577105	1019.6083	1006.55835	1000.0	1000.0	1039.0835	4.4008775	1066.4326	1017.44293	97.52089	-0.0072116004	2.4361782	0.019003324	128000	806.8360044956207
683.8804	160.37769	844.25806	523.5027	697.9424	251.30505	1030.3093	377.6139	655.5	668.8	1027.7494	10.171504	1060.0671	982.85425	159799.12	0.0008992189	2.433143	0.012001918	130000	820.9784007072449
527.58295	307.2322	1032.7173	244.88469	489.2165	127.43648	683.97186	332.7818	495.5	458.6	538.4576	27.429903	602.07104	439.4585	84890.234	-0.0067364047	2.457572	0.012989141	132000	831.3005077838898
954.7621	75.5939	1030.356	879.16815	906.9635	228.8658	1028.8804	404.00317	922.5	878.8	494.75412	64.02972	659.7908	251.66425	49410.188	-0.007362515	2.4492426	0.016727172	134000	845.1497619152069
1017.3811	4.7950745	1022.1762	1012.58606	1020.4398	3.4495926	1025.9365	1015.02795	1000.0	1000.0	580.54376	32.37647	659.4886	387.8943	8740.014	-0.0018163251	2.4331517	0.011170714	136000	862.099042892456
1018.08307	0.5426636	1018.62573	1017.5404	929.7379	248.76776	1020.5659	183.84068	1000.0	917.1	756.7705	14.096812	829.07587	690.8939	3019.2136	-0.00094780826	2.4875355	0.01314573	138000	877.8458242416382
1007.7477	5.187134	1012.9348	1002.56055	935.40594	236.3303	1026.5847	226.55394	1000.0	923.3	851.32153	15.026336	923.66504	778.3395	1133.5094	-0.0059964783	2.4516363	0.013126344	140000	893.2937340736389
805.9048	224.3494	1030.2542	581.55536	784.053	362.97946	1017.9497	12.588429	791.5	776.7	907.60175	15.458892	1000.0235	846.6948	109034.8	-0.0072622383	2.4501352	0.017075576	142000	905.7127468585968
1012.8397	2.6857605	1015.52545	1010.15393	960.92053	136.28482	1029.8378	562.6208	1000.0	949.0	739.15564	46.172016	837.6583	515.6283	3122.733	0.0068706423	2.4601812	0.014015736	144000	921.8082308769226
1021.28125	3.01062	1024.2919	1018.2706	852.61786	273.72037	1026.4916	318.70352	1000.0	829.1	854.47736	14.65628	921.16144	778.61237	1172.1877	-0.009980955	2.4131153	0.009074434	146000	936.5612361431122
