AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	AverageC	StdC	MaxC	MinC	StepsPerSecond	Time
947.38367	70.26022	1017.64386	877.1234	648.77527	297.8868	1139.8027	67.262535	1000.0	671.0	108000	72.615364	72.61564	1.2651563	1.2561888	-73.69407	1.2533749	2.0029228	33.563232	0.08811951	785.03174	2816.7590510845184
1127.7441	111.1391	1238.8832	1016.605	676.565	396.0331	1302.1664	52.608524	1000.0	651.2	110000	73.227234	73.227554	1.278281	1.2450103	-74.30129	0.9638094	1.002312	8.811188	0.04272461	702.063	2870.3773152828217
614.39374	241.08687	835.6158	215.31982	360.99155	337.1889	880.51514	19.84141	665.0	335.5	112000	73.89431	73.89467	1.2500634	1.2254575	-74.96249	0.96446776	1.2656007	19.244766	0.0667572	579.09564	2921.5132472515106
898.1709	247.90036	1146.0713	650.27057	724.6851	398.60803	1499.4609	168.63358	1000.0	641.6	114000	74.55603	74.55566	1.2653823	1.2566283	-75.62283	0.98231703	1.6269568	48.991013	0.060272217	677.65436	2977.57755112648
595.996	398.012	902.634	33.898106	396.80582	320.45206	869.74005	36.072594	677.6667	407.0	116000	75.239716	75.240204	1.2468683	1.1965779	-76.28572	0.99103993	1.5017265	31.528473	0.045013428	696.9739	3028.752591609955
736.6463	386.67734	1240.8398	301.18994	413.26312	371.2242	1105.9789	19.02239	486.0	405.0	118000	76.05117	76.051414	1.3270046	1.3454142	-77.0803	1.2014879	4.983901	161.59592	0.06637573	762.85144	3079.8770689964294
421.27844	333.83173	823.2946	15.011425	863.09045	422.3333	1449.8557	86.07947	529.75	712.1	120000	76.76464	76.764824	1.4054954	1.3845897	-77.78436	1.4283592	5.909963	145.20264	0.07019043	660.8107	3135.2150435447693
652.6012	277.62656	1033.1228	355.3062	599.8297	402.4422	1126.0756	84.12081	631.25	613.6	122000	77.357025	77.35722	1.3505747	1.3226577	-78.37594	1.130492	3.403312	120.401	0.07171631	581.33044	3192.82985162735
465.4425	289.19382	964.1046	259.3891	559.4391	325.9441	998.50244	13.315498	389.0	584.7	124000	78.1761	78.17581	1.3777182	1.4137673	-79.18903	1.2168967	3.1022356	93.946075	0.062561035	797.4078	3243.855077981949
779.5641	482.0109	1449.9628	162.55801	629.4012	327.32083	1101.2853	94.1585	513.75	624.2	126000	78.91927	78.91995	1.4946607	1.4769427	-79.90206	1.4070473	3.7591636	106.24657	0.076293945	688.1626	3296.744303226471
377.95908	267.731	780.4433	59.3788	645.10406	500.8348	1573.8397	22.39907	335.7143	569.8	128000	79.62082	79.620674	1.4056388	1.4194863	-80.60174	1.3752697	3.34952	123.85635	0.0743866	740.8446	3350.419269800186
567.0237	373.20285	898.24207	45.547493	912.1193	301.54465	1188.354	153.11757	681.0	884.5	130000	80.251884	80.25198	1.5414128	1.5465859	-81.22067	1.5159515	5.381672	169.8185	0.061035156	805.9072	3411.8379464149475
475.47043	493.85718	1319.6454	70.62337	487.93808	349.88193	1036.4037	15.271288	354.0	419.9	132000	80.91118	80.91138	1.546984	1.5854671	-81.8821	1.7808889	9.857135	222.50099	0.06790161	721.7103	3460.200074195862
782.8575	41.31476	824.17224	741.5427	892.1979	380.453	1371.3077	252.43837	1000.0	756.5	134000	81.54568	81.545685	1.5550344	1.5624286	-82.5072	1.3050009	4.037302	139.77547	0.049591064	756.7214	3517.945370912552
453.35645	399.45694	1138.8362	118.41087	470.2841	399.5643	1135.4003	64.82976	414.0	412.5	136000	82.10961	82.10946	1.518514	1.5273654	-83.08905	1.511493	6.7288704	204.95834	0.07400513	737.93335	3566.155925989151
427.26334	275.19482	1031.0696	207.72514	508.05933	424.57123	1325.9768	68.53053	329.16666	535.5	138000	82.98427	82.984955	1.743595	1.71188	-83.93416	1.3357018	1.7921227	28.663635	0.051879883	745.7599	3614.598074197769
715.7272	270.64932	986.37646	445.07782	785.21954	487.62527	1745.3766	187.78941	619.5	617.9	140000	83.73309	83.73267	1.7927737	1.8191975	-84.67798	1.3670706	3.0135033	73.64197	0.090026855	704.5494	3669.3601281642914
589.68176	330.41925	840.9185	28.972157	534.82263	377.29846	1104.1283	25.433659	604.75	627.6	142000	84.42083	84.42115	1.7361263	1.734542	-85.37598	1.3552656	5.007982	189.46915	0.052642822	648.55365	3722.1557791233063
1267.1526	153.18109	1420.3336	1113.9714	371.27985	249.47517	804.5726	57.141075	1000.0	327.1	144000	85.24313	85.24339	1.752587	1.7388791	-86.18681	1.0728343	1.7283069	40.114594	0.0579834	846.0863	3764.8234996795654
465.65726	372.3383	898.8836	29.013943	583.1644	469.268	1286.1104	20.975542	439.25	424.5	146000	85.94513	85.945404	1.8064965	1.8048737	-86.88872	1.0205239	1.2683753	21.912384	0.07476807	543.6885	3811.869879961014
783.3552	505.3807	1508.0343	243.80579	420.75824	349.38806	1084.6183	70.24691	590.75	337.2	148000	86.82482	86.824646	1.7905113	1.7451235	-87.765656	1.033925	1.5075306	36.44409	0.05493164	759.8421	3860.478586435318
936.8351	78.94281	1015.7779	857.8923	705.22955	370.1429	1120.3691	157.76714	1000.0	657.5	150000	87.64645	87.646736	1.7912793	1.80243	-88.59358	1.018517	2.4482481	66.31088	0.05493164	635.3981	3914.418769598007
640.56	319.23978	875.92566	189.22568	550.11346	314.81918	1122.6733	189.45866	709.6667	459.3	152000	88.29104	88.291084	1.7857262	1.740171	-89.23702	1.1192749	4.759775	150.55542	0.051879883	510.85522	3966.8163335323334
