AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
547.31635	135.535	797.63055	382.15576	1004.44885	223.56699	1220.4668	370.38065	262.16666	919.4	76000	59338.383	945706.25	319.60406	-262.1978	59337.93	945698.94	332.03366	-192.96126	498.6289	7947.013	60.725876	-11.47509	-234.48076	16.74181	15.621448	864.9006	756.2762818336487
758.5225	128.13477	1034.1323	636.4643	721.43304	107.175865	875.7733	532.42395	417.66666	325.0	78000	57883.266	922515.25	310.3965	-129.38097	57883.14	922513.25	324.86716	-131.60344	458.97714	7315.0713	60.588615	-13.367947	-228.5334	15.596224	14.335098	762.151	776.0650148391724
608.70325	114.09778	754.0115	408.02402	413.67755	3.8402934	417.02106	406.49857	266.85715	208.4	80000	56155.836	894984.4	308.2332	-124.309525	56156.09	894988.3	311.91733	-144.6442	470.26443	7494.962	52.41127	-13.4006405	-221.69037	14.343157	14.050196	765.07355	793.4889667034149
521.72723	219.88817	1095.1117	350.88443	353.5921	148.08644	434.63068	57.30854	236.33333	154.8	82000	54566.45	869653.4	303.43942	-164.76974	54566.586	869655.56	308.07806	-152.82256	448.87723	7154.1016	67.32418	-11.947774	-215.27885	13.075613	12.258871	775.8464	810.4551091194153
430.89062	172.20221	776.4928	51.27054	448.4955	7.483026	468.76874	440.96277	192.54546	203.5	84000	52928.348	843546.06	288.35138	-157.95575	52928.426	843547.4	303.1876	-116.90784	423.96106	6757.0044	71.57647	-12.101571	-208.73994	12.145086	10.980422	756.0564	828.3907124996185
748.58356	263.22818	1169.1605	432.8571	740.24866	93.54098	851.08295	584.2938	372.4	354.9	86000	51407.445	819306.7	284.81558	-154.68315	51407.273	819303.94	293.0309	-135.273	389.2364	6203.587	50.399815	-12.121705	-202.70602	11.748319	11.239586	787.9606	849.3079929351807
751.3836	304.11624	1405.8876	553.4571	887.7655	233.5408	1061.894	503.22134	350.5	746.1	88000	50119.215	798775.56	277.403	-112.872986	50119.426	798778.94	287.87604	-115.064415	385.42056	6142.774	56.382587	-13.835985	-197.6367	9.586563	9.005281	821.3323	877.1134343147278
541.1551	227.32167	796.6529	55.69789	484.75812	11.418653	499.9323	467.53387	245.0	213.0	90000	49056.66	781841.0	281.17657	-148.77676	49056.54	781839.06	281.51312	-120.802025	336.6979	5366.271	51.1484	-13.393805	-193.31995	9.980242	9.299378	800.0069	895.3078918457031
1104.616	232.19196	1465.2786	779.6942	1650.9701	805.2671	2681.6006	551.8902	435.4	697.8	92000	47939.793	764040.9	280.6697	-155.3436	47939.938	764043.25	277.855	-200.49364	302.46042	4820.617	52.308956	-12.151984	-188.86037	9.523965	9.372186	760.23364	922.1390750408173
826.5666	107.211716	969.9049	681.9565	517.7214	261.89703	1081.1929	348.35687	338.4	246.4	94000	47079.457	750329.3	276.85745	-157.61536	47079.32	750327.06	275.55093	-109.77097	301.98767	4813.083	53.289276	-12.132535	-185.499	9.086988	8.855122	793.2024	939.7246036529541
