AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
939.4865	345.74112	1540.7947	459.6323	416.36093	1.3654244	419.47702	414.87054	308.5	160.9	105999	39467.453	390728.8	495.54004	-216.83841	-399.51126	151.2792	798.5778028964996
602.2394	393.3626	1348.5381	29.894693	731.904	13.627205	771.5352	722.9456	197.72728	226.1	107999	39392.523	389986.97	508.898	-238.36052	-398.07126	144.87831	813.0567495822906
728.8154	456.34424	1276.401	14.612271	1032.8575	246.21318	1620.7875	659.32056	231.375	342.9	109999	39293.176	389003.4	487.00034	-202.68704	-396.92767	145.41354	828.2813556194305
1208.4666	352.56494	1685.446	784.5764	737.5306	29.882317	804.8992	708.41754	458.25	239.9	111999	39393.42	389995.84	487.37918	-166.502	-397.80118	129.4884	842.065318107605
579.6894	480.085	1593.8357	17.329084	22.916582	5.605477	39.428684	19.529049	217.45454	21.9	113999	39427.43	390332.56	488.47784	-212.1214	-397.98856	142.84013	855.0791087150574
477.3431	763.18665	2612.4702	28.308273	1078.6271	127.676605	1317.6783	946.4624	186.8	362.0	115999	39351.633	389582.12	487.85516	-165.14696	-397.18256	146.359	870.8303141593933
1005.9099	177.06483	1175.7693	625.4056	720.32794	71.70872	827.9865	650.52246	330.5	239.0	117999	39406.69	390127.28	489.6848	-157.54991	-397.78732	136.47906	886.3851630687714
752.90356	211.07248	1060.7751	453.46716	683.0979	76.24129	910.7694	646.00214	255.375	265.3	119999	39496.92	391020.56	487.31198	-173.48792	-398.70557	131.80411	901.342182636261
815.7798	448.46445	1414.3607	144.80037	566.9745	176.08862	916.5516	422.87817	288.2857	235.3	121999	39658.02	392615.47	484.99084	-188.22812	-400.38846	138.42583	916.1671698093414
721.60925	232.1982	1193.9476	399.8675	808.18835	173.62735	1105.8477	448.06247	256.125	291.8	123999	39698.105	393012.38	480.84818	-222.36465	-400.5097	132.68483	931.2510001659393
466.0882	261.26248	852.94696	92.148155	192.33292	43.38848	295.19043	159.7434	179.7	89.2	125999	39514.617	391195.88	480.8702	-201.89952	-398.41888	125.516304	944.5363550186157
300.74545	198.71875	975.7657	154.81618	452.6214	100.409164	525.0097	242.91129	116.42105	162.8	127999	39246.863	388545.12	481.35162	-181.78214	-395.7425	138.00893	959.1531116962433
283.4608	191.04842	665.20276	100.56005	147.09024	45.090034	163.20795	11.847951	109.833336	72.5	129999	38986.01	385962.78	484.40005	-519.9705	-393.20312	139.28456	972.6332519054413
347.66193	194.75577	748.2428	77.90744	194.72166	20.699759	218.8678	147.8883	124.3125	85.3	131999	38948.875	385595.16	487.23105	-287.0029	-392.91586	124.89592	985.9577968120575
469.61435	228.6696	816.5289	147.65265	833.65735	5.1496983	842.09186	825.8592	155.90909	257.3	133999	38771.004	383834.28	489.7944	-198.52866	-391.04126	141.13676	1000.6541066169739
1004.69824	194.17947	1318.6925	641.99243	781.18616	103.03601	880.7149	627.92944	317.57144	236.3	135999	38662.73	382762.4	493.51685	-175.47438	-389.87524	114.71381	1014.6334655284882
825.9376	326.07474	1431.9763	315.6552	760.48865	254.19498	1199.1116	591.3679	281.85715	268.8	137999	38589.266	382035.06	491.85455	-161.94327	-389.15417	117.89319	1029.1668395996094
799.23914	196.99051	1131.6531	469.1597	511.20868	194.63715	1073.7158	364.54483	265.375	241.1	139999	38395.043	380112.28	497.78265	-158.80232	-386.95062	125.645744	1044.0127878189087
656.6644	305.18533	1101.3793	342.23926	1651.7795	734.89307	2910.5015	905.2534	241.375	581.3	141999	38040.047	376597.78	503.59937	-169.42668	-383.12924	122.58842	1061.276729106903
1864.8678	668.7142	2769.9756	1174.9263	1122.3293	332.72266	1724.4502	428.99173	661.6667	811.4	143999	37820.9	374428.2	504.8171	-143.78401	-381.0572	109.57508	1081.196041584015
1616.8779	145.89496	1814.0007	1465.5438	2055.4282	868.43866	2902.5022	850.0653	573.6667	718.2	145999	37687.703	373109.56	501.89767	-200.08469	-379.7252	125.25505	1100.4241993427277
1379.0531	764.37085	2891.5532	840.8439	2970.5835	98.267	3080.1824	2695.848	461.2	969.5	147999	37637.137	372608.97	490.8766	-134.80228	-379.1408	103.95664	1120.4229662418365
607.62885	404.71393	1290.3997	88.73381	1362.2131	282.49268	1749.4734	866.0682	213.33333	411.0	149999	37454.246	370798.28	484.47803	-156.94688	-377.20325	117.67533	1136.43000125885
810.14465	467.24265	1703.4241	180.67023	545.92584	147.88948	764.82526	313.11633	262.625	188.8	151999	37229.887	368577.12	475.66974	-162.50427	-374.99133	106.661316	1150.8000209331512
1181.2637	386.0699	1769.5027	725.0176	867.40216	108.536934	1181.7156	794.9829	341.83334	260.0	153999	37153.43	367820.22	472.8813	-133.40793	-374.2797	96.094795	1165.6836824417114
441.02896	613.8251	1713.198	4.2597055	871.83673	479.48984	1297.6857	143.61606	136.07143	268.5	155999	37189.855	368180.88	474.8554	-142.86641	-374.50943	100.23917	1180.224369764328
809.9409	126.62894	973.2349	556.7512	1151.9114	497.2686	1984.9026	144.62413	247.875	352.8	157999	37207.758	368358.12	488.78973	-180.60995	-374.70264	100.96313	1196.334573507309
742.17084	275.75034	1162.9996	131.71346	1132.7766	25.388521	1202.4939	1111.2126	236.0	333.6	159999	37224.844	368527.28	497.0719	-142.73347	-374.88434	102.139656	1211.6196801662445
501.85544	300.08386	993.7006	136.37227	1042.9514	760.88055	3021.4197	382.51147	177.18182	330.4	161999	37401.836	370279.47	502.91153	-140.02086	-376.54144	100.741	1226.687213897705
695.1238	397.88272	1500.4261	122.40225	975.9474	97.142265	1213.6716	874.31	237.625	302.4	163999	37473.5	370988.9	492.51468	-216.26808	-377.2541	104.02296	1241.0827016830444
663.0767	628.78754	2258.9714	81.25084	933.3171	96.77641	1142.0812	870.25555	222.66667	285.5	165999	37431.21	370570.25	485.8621	-160.92549	-376.86676	115.0378	1256.138177871704
727.1053	191.4344	1119.3159	378.70514	638.60364	161.31049	746.8531	187.05461	236.88889	237.9	167999	37414.203	370401.88	495.008	-174.4359	-376.68723	100.95908	1270.3180844783783
935.28925	515.71625	1919.3997	383.75107	1585.6179	406.7677	2598.8655	1258.5056	304.5	551.2	169999	37536.547	371613.1	481.60806	-193.68944	-377.88342	113.71797	1287.818303346634
669.14575	191.23807	907.1904	321.94012	1007.5467	341.6971	1735.8672	758.9875	230.44444	348.9	171999	37536.44	371612.1	479.56754	-214.53561	-377.81335	108.15667	1302.254076719284
1029.2578	507.65866	1906.8453	383.92322	1014.43164	388.02927	1729.5004	204.81677	333.0	331.2	173999	37457.215	370827.78	485.38513	-192.92107	-377.02353	105.22028	1317.3639302253723
677.5939	351.4104	1141.5428	197.821	436.17667	102.58538	665.85516	361.94412	234.0	185.8	175999	37467.383	370928.5	483.03723	-182.66718	-376.98557	102.69495	1331.780324459076
898.0362	320.06467	1318.6633	572.9627	157.27847	5.2012124	168.05165	148.36317	297.0	112.4	177999	37537.438	371622.0	475.82462	-170.28944	-377.5897	94.1988	1345.5682876110077
587.17596	505.5276	1576.3323	123.53848	1367.2688	737.8296	2515.5085	180.22372	230.66667	472.7	179999	37520.47	371453.97	475.6871	-183.49243	-377.41058	95.20358	1362.4150524139404
648.2678	386.85037	1134.872	157.07587	1392.0486	823.22906	2596.2368	370.16504	229.44444	536.6	181999	37395.55	370217.3	478.97293	-156.38727	-376.1185	93.84056	1379.921695947647
1131.8951	465.81174	1610.7673	242.38745	1378.7902	520.8833	2843.7578	899.07214	389.2	437.8	183999	37305.188	369322.7	481.79498	-256.51215	-375.25394	101.23892	1395.2395992279053
796.33203	435.08017	1715.6384	248.94705	367.61993	345.156	1031.624	50.17033	265.875	114.1	185999	37225.727	368536.06	476.05527	-171.89708	-374.45743	87.82848	1408.513324022293
858.2306	808.1798	2616.1658	45.408447	1384.967	293.75735	2037.0127	973.59436	284.85715	441.7	187999	37213.89	368418.84	480.00436	-161.30138	-374.19464	91.521576	1426.1098597049713
963.4081	404.4464	1593.989	446.36115	2106.9878	685.49536	2912.9116	807.12665	315.2	646.8	189999	37162.766	367912.7	472.72467	-230.70683	-373.7234	84.669205	1444.2458798885345
1073.7183	535.5809	1688.3856	245.8984	2858.2808	712.56635	3122.3489	721.17694	361.8	923.0	191999	37077.12	367064.8	468.0474	-160.17758	-372.84375	87.67921	1464.4206647872925
2427.7024	691.4253	3128.2876	1486.6571	1875.3083	831.9796	3159.0876	807.86206	753.0	578.1	193999	37153.914	367825.03	468.59406	-140.36134	-373.5149	86.51327	1480.7619128227234
891.5697	655.7418	2183.0596	112.67543	961.06934	769.89056	3008.1685	246.78667	288.0	323.7	195999	37107.445	367365.03	464.26328	-146.38667	-373.12723	87.45358	1495.3770842552185
988.4893	504.73715	1783.3499	112.261955	2506.5454	850.61786	3214.7507	834.682	293.7143	837.0	197999	37113.145	367421.5	479.31503	-165.66135	-373.1336	83.16666	1514.6133913993835
649.123	238.38727	1117.5197	324.28064	2719.4294	546.18414	3235.3132	1721.9344	207.22223	858.8	199999	37068.047	366975.06	468.204	-345.46408	-372.68063	77.83708	1535.1653320789337
1405.4888	382.14615	2076.9592	1004.7446	1159.1339	99.61064	1292.6385	996.22656	425.8	348.6	201999	36989.344	366195.94	475.1278	-136.14668	-372.01022	78.02666	1552.995364665985
