AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	AverageLogP	StdLogP	MaxLogP	MinLogP	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	AverageZ	StdZ	MaxZ	MinZ	C	StepsPerSecond	Time
279.14423	205.78929	545.9819	45.11674	265.79926	252.24388	696.00946	40.512085	571.0	415.2	50000	26.38165	26.38188	0.9084326	0.90686584	0.0003206355	220.95564	3521.4834	1.9806222	-1.5739179	-8.0317255e-09	0.22478515	0.12747812	-0.22544144	1.0000987	9.3203205e-05	1.0020596	1.0000002	53.156315	574.0465	1141.4158699512482
88.24873	127.21429	493.5531	-6.7502413	272.86398	280.62613	745.2863	26.450954	176.0	386.3	52000	27.47678	27.47718	0.99359727	0.9981305	0.0003318632	223.81187	3567.005	1.9617152	-1.4309751	-6.0245395e-09	0.22572339	0.17517027	-0.18803377	1.0000992	9.559916e-05	1.0023906	1.0000002	53.13812	699.63025	1186.6218903064728
407.1438	219.88934	571.1513	96.33198	319.12225	292.3834	826.8657	16.954414	708.0	419.4	54000	28.292782	28.292557	0.949561	0.96779394	0.00031120804	224.40315	3576.4285	1.9268003	-1.3713694	1.3402104e-08	0.22705658	0.12279114	-0.18143715	1.0001	9.886124e-05	1.0022213	1.0000002	53.458984	615.457	1232.2888281345367
186.0641	182.13669	598.7908	58.585197	189.91534	174.01993	675.6278	35.71223	284.14285	267.0	56000	29.269136	29.269566	0.9430061	0.9607393	0.0003166581	222.53232	3546.6118	1.9369962	-1.6227916	1.848042e-08	0.22818962	0.15018089	-0.17390145	1.0001019	0.00010127386	1.0024613	1.0000004	53.698593	602.0735	1276.2884225845337
315.2246	280.6705	608.04846	30.48906	586.0092	265.72195	839.91516	53.891685	530.25	781.8	58000	30.190653	30.191088	0.9337287	0.9583555	0.0003062724	221.96165	3537.5168	1.901014	-1.56216	9.746104e-09	0.22889179	0.17027128	-0.18543041	1.0001024	0.00010319264	1.0021073	1.0000002	53.68404	662.5783	1325.9084701538086
290.54544	96.35652	426.56265	215.37013	537.54755	305.8746	845.1149	60.075737	480.0	668.2	60000	31.093824	31.0941	0.96110696	0.9703334	0.00030271494	222.78795	3550.6868	1.9151349	-1.7959504	-1.8084794e-08	0.2294437	0.15283933	-0.23155387	1.0001029	0.000104409315	1.0028479	1.0000002	53.631157	574.56665	1374.8461558818817
510.30173	268.04376	716.45703	131.73146	508.23227	328.75198	1041.7991	35.860374	767.6667	672.1	62000	32.022434	32.02264	0.9236651	0.93882006	0.0003063442	220.43053	3513.1155	1.8635173	-1.5712928	1.4868565e-08	0.22972198	0.1510402	-0.18849427	1.000103	0.000104832114	1.0026772	1.0000004	53.234478	650.62823	1423.9714579582214
367.28583	269.15134	659.4278	26.348808	276.7722	279.80875	795.1488	17.473072	627.0	393.8	64000	32.995743	32.995754	0.88964623	0.8999083	0.00031233233	225.7849	3598.4512	1.9442239	-1.4746947	-5.1885842e-09	0.23084308	0.14913145	-0.20289841	1.0001034	0.00010823629	1.002475	1.0000002	52.074726	673.23315	1469.5991818904877
300.19983	240.43266	540.6325	59.767174	522.03613	276.8455	891.60236	28.10772	783.0	744.1	66000	33.8577	33.857964	0.93212855	0.94636047	0.00031905982	230.50125	3673.6172	1.9401007	-1.5684156	2.107024e-09	0.23213069	0.14436941	-0.22282699	1.0001053	0.00011105868	1.0024378	1.0000002	51.653114	588.7891	1519.308968782425
359.86673	233.04245	664.35	113.57068	553.59875	206.43109	799.4062	240.39738	583.25	812.9	68000	34.841255	34.840813	0.9238848	0.9431487	0.0003198839	234.68542	3740.3032	1.892783	-1.7067358	2.528131e-08	0.23333482	0.15482043	-0.19725512	1.0001061	0.00011445564	1.0024345	1.0000002	51.206814	618.4071	1568.7902812957764
638.4575	42.202057	680.6596	596.2555	499.1543	334.72684	843.45325	62.55808	1000.0	639.4	70000	35.96617	35.966682	0.90299207	0.9157792	0.00031506547	237.86333	3790.9514	1.9113019	-1.7251954	1.8371269e-09	0.23553444	0.1760493	-0.24946104	1.000108	0.000120569835	1.0040731	1.0000002	50.708683	639.4494	1616.21289229393
261.98434	124.31884	360.5466	86.6204	611.6563	270.39764	937.58	80.273766	504.33334	832.4	72000	36.984013	36.984318	0.94307864	0.9525326	0.00032248962	240.156	3827.4905	1.9313624	-1.7700788	-2.1460652e-08	0.23674843	0.16390832	-0.26826012	1.0001097	0.0001239053	1.0042287	1.0000002	50.59772	673.03674	1666.693113565445
346.24463	234.45322	642.61633	79.39034	410.22256	319.75507	825.4121	20.500683	560.75	505.4	74000	37.721596	37.721687	0.9351228	0.95115197	0.0003237784	245.60323	3914.3071	1.9820665	-1.3883929	-6.7040324e-09	0.23709765	0.20376897	-0.21239023	1.00011	0.00012539969	1.0038681	1.0	49.77647	618.5795	1713.9592254161835
483.2444	271.08142	679.05286	99.90718	675.33655	274.44913	941.83484	54.845177	704.0	826.7	76000	38.607742	38.60812	0.942928	0.9395646	0.00032607763	251.2503	4004.306	2.0432615	-1.5973244	2.5546552e-08	0.23857966	0.2238517	-0.22214817	1.0001107	0.00012993843	1.0033792	1.0000001	48.975586	594.58954	1763.9772431850433
364.00018	305.12427	678.6664	56.98193	466.64493	345.04898	913.8522	51.326412	545.25	573.3	78000	39.71225	39.71244	0.928218	0.92270106	0.00032850748	256.47205	4087.5266	2.0613294	-1.6118033	2.3026764e-08	0.23986308	0.18621767	-0.24095964	1.0001123	0.00013408868	1.0044582	1.0	48.432842	639.18427	1811.7718906402588
518.4088	177.63593	696.04474	340.7729	566.4863	325.53214	896.54944	19.24997	691.0	739.1	80000	40.788692	40.788475	0.94330484	0.94508606	0.0003227264	256.0904	4081.444	2.0447466	-1.9226216	-3.1633675e-08	0.24107547	0.20194802	-0.24545033	1.0001136	0.00013851978	1.0049384	1.0	48.490807	608.28577	1860.9265508651733
503.05655	281.17514	716.86926	105.80165	524.49817	309.78278	827.4334	55.99219	717.0	624.6	82000	41.76295	41.763206	0.9122589	0.9138204	0.000326036	257.9394	4110.912	2.0289812	-1.6213872	1.92374e-08	0.24203074	0.1914391	-0.25236395	1.000114	0.00014009197	1.0049537	1.0000001	47.834194	686.73975	1908.5927140712738
365.4946	232.84062	656.597	80.32696	639.62976	259.48108	929.7186	225.54245	605.5	864.4	84000	42.52302	42.522846	0.9177825	0.9280236	0.00032136196	258.30212	4116.6953	2.0274296	-1.5207325	5.836785e-09	0.24217758	0.17784417	-0.25455728	1.0001142	0.00014133878	1.005036	1.0000001	47.589462	655.87915	1959.1490020751953
561.6087	373.0151	889.9882	39.877937	470.38226	375.37543	921.8635	-3.174715	682.0	554.1	86000	43.3682	43.367687	0.93901426	0.94871426	0.00031681472	256.71497	4091.4004	2.023217	-1.8833494	-2.361089e-08	0.24267642	0.24109226	-0.29027024	1.0001146	0.00014441086	1.0046772	1.0000001	47.955917	624.12164	2006.3583204746246
720.8351	31.27835	752.11346	689.55676	584.6478	344.66605	1048.3561	59.98802	1000.0	632.5	88000	44.195473	44.195568	0.9432911	0.9426908	0.00031725806	255.0548	4064.9382	2.0247731	-1.7430145	2.0454824e-08	0.24308306	0.22782597	-0.25457448	1.0001149	0.00014736687	1.0092368	1.0000001	47.63493	602.875	2054.691989660263
756.84393	25.068726	781.91266	731.7752	270.16678	323.64816	918.0109	14.3467045	1000.0	293.5	90000	44.964222	44.96428	0.885938	0.9018333	0.0003121846	254.22693	4051.7468	2.004576	-1.7531711	-2.3925304e-08	0.24438614	0.22169904	-0.26711348	1.0001165	0.00015056666	1.0059222	1.0	47.494503	577.09314	2098.9633853435516
703.453	112.95953	816.41254	590.49347	561.11835	322.86017	917.6337	110.0951	1000.0	684.9	92000	45.815952	45.81578	0.9035774	0.91444755	0.00032311998	256.05096	4080.8171	1.9995949	-1.53926	1.6902387e-08	0.24495679	0.24639532	-0.35196802	1.0001171	0.00015265436	1.007546	1.0000001	46.821693	616.40137	2146.797379016876
782.1007	39.09369	821.1944	743.007	548.93677	309.21536	1148.3273	23.692196	1000.0	585.0	94000	46.526688	46.526726	0.889454	0.8877868	0.0003211435	259.44846	4134.966	2.0198708	-1.7900822	-6.9603323e-09	0.24574536	0.23712386	-0.3625152	1.0001178	0.00015586324	1.0083463	1.0	45.94362	667.3082	2194.3961851596832
552.97833	315.65097	877.85785	125.40975	727.96826	215.93663	917.18854	269.87164	698.6667	847.9	96000	47.237335	47.237217	0.89121044	0.89854944	0.0003212232	261.89093	4173.8916	2.0289354	-1.3953626	3.02881e-08	0.24615419	0.22680674	-0.2850693	1.0001181	0.00015625746	1.007324	1.0	45.300884	638.0262	2244.353791475296
254.9703	260.76932	702.5984	72.75772	580.3964	340.35693	985.6755	34.07522	342.75	666.2	98000	47.812893	47.813156	0.9148631	0.9222922	0.00032005782	257.2932	4100.615	2.028038	-1.5062279	1.4854223e-08	0.24687403	0.24665187	-0.28533036	1.0001186	0.00016007178	1.0069301	1.0	45.735813	659.0909	2292.6641087532043
573.0911	118.14116	691.2323	454.94998	417.23602	278.28506	821.0719	76.50899	1000.0	477.8	100000	48.29217	48.2926	0.8806783	0.8880752	0.00031981946	262.51514	4183.8374	2.0474124	-1.4955856	-4.4691564e-08	0.24802008	0.27015445	-0.32310387	1.00012	0.00016521603	1.0080184	1.0	44.289444	600.4734	2338.9960997104645
424.67072	329.58118	825.70355	75.87105	848.7412	69.86647	975.03986	736.37476	550.5	969.0	102000	48.835075	48.835	0.9026926	0.9122714	0.00032508763	266.4546	4246.626	2.0731192	-1.813522	-3.364235e-08	0.249777	0.21886495	-0.38999134	1.0001217	0.00017263296	1.010041	1.0	43.97702	625.16516	2391.0778834819794
422.45673	325.73395	756.0185	42.501537	549.62	405.35846	1022.6186	46.36353	552.25	576.2	104000	49.520508	49.52105	0.8847488	0.8863838	0.00032985013	270.50726	4311.2144	2.0722523	-1.561675	3.8960575e-08	0.25073254	0.2570608	-0.33502138	1.0001222	0.00017370944	1.0105835	1.0	43.136242	676.9692	2437.918107509613
761.4216	26.372559	787.7941	735.049	530.9501	340.9849	951.2825	55.989212	1000.0	553.9	106000	50.31863	50.318657	0.8837468	0.8921516	0.00033668958	274.43295	4373.781	2.1037014	-1.4971017	-5.6524573e-08	0.25255343	0.24831791	-0.3677132	1.0001242	0.00018151182	1.0113871	1.0	42.91947	613.542	2484.6872067451477
366.3882	218.41017	674.4432	192.83868	416.54184	293.1782	892.8478	117.83686	513.3333	434.4	108000	51.15473	51.155197	0.92152846	0.9293329	0.00033472118	277.11734	4416.5605	2.1318355	-1.5303811	2.6269257e-08	0.25444433	0.342974	-0.48189324	1.000126	0.00019162193	1.0122126	0.9999999	43.052925	608.0886	2530.3992879390717
569.93823	354.5763	828.88806	68.582596	462.89227	390.42566	1030.061	24.263815	698.6667	491.0	110000	51.921005	51.921154	0.9278826	0.9454596	0.00033050016	279.77924	4458.9863	2.1737375	-1.8671584	-4.0701778e-08	0.25543237	0.3276695	-0.44165683	1.0001271	0.00019522251	1.011086	0.9999999	42.903023	589.2559	2577.0068261623383
286.4778	314.5411	795.29034	23.569244	336.45798	263.32687	863.39453	107.215324	360.14285	346.4	112000	52.65507	52.655094	0.9452086	0.94248337	0.00034137804	279.96304	4461.915	2.1644466	-1.5340998	8.642673e-10	0.2565993	0.28298262	-0.4260326	1.0001281	0.00019807984	1.0100404	0.9999999	42.55287	617.3705	2622.032100915909
256.35056	305.38184	763.0659	15.249748	412.2724	341.4606	1006.08057	20.362965	333.0	427.6	114000	53.21	53.2103	0.9610773	0.9616548	0.00032065526	279.17767	4449.3975	2.1423764	-1.6058822	8.58754e-09	0.25732768	0.27087513	-0.40334666	1.000129	0.00020548418	1.0094488	0.9999999	42.28656	671.00885	2667.161346435547
555.52545	308.31934	802.9089	120.879875	513.36237	303.12537	907.69037	60.29589	703.6667	543.3	116000	53.76662	53.7672	0.9318096	0.93771124	0.0003250568	278.52847	4439.054	2.170878	-1.4070296	8.153617e-08	0.25839823	0.31724173	-0.41179764	1.0001302	0.0002098816	1.0114442	1.0	42.113697	595.27374	2714.961207151413
757.7223	9.658325	767.3806	748.06396	576.30554	364.8731	951.3771	41.03299	1000.0	596.0	118000	54.28026	54.280422	0.89013886	0.8970687	0.0003243826	277.54877	4423.4385	2.1794782	-1.4614476	6.2189995e-09	0.25930274	0.30176392	-0.41457853	1.0001309	0.0002149834	1.0101708	0.9999998	41.765102	613.4232	2762.4985551834106
808.95166	11.129852	820.08154	797.82184	704.442	303.8513	953.34814	98.820915	1000.0	818.6	120000	54.894592	54.894974	0.8769213	0.8782832	0.00033222092	281.0504	4479.245	2.157188	-1.3942575	-3.779009e-08	0.2605912	0.28821912	-0.39609286	1.0001323	0.00022096014	1.0129483	0.9999999	41.151844	652.2011	2811.9402997493744
416.0165	325.59076	867.5132	34.53385	568.00006	382.60785	928.02386	22.828444	485.4	565.3	122000	55.524265	55.52433	0.87209463	0.87738526	0.00032780808	279.07178	4447.713	2.1454682	-1.5324724	-2.0216405e-08	0.26136082	0.320573	-0.39478695	1.000133	0.00022478754	1.0117471	0.9999999	40.930824	564.26013	2859.8250489234924
582.1273	210.00572	792.13306	372.1216	582.3912	445.69977	1218.4738	64.76483	715.5	571.1	124000	56.016994	56.017452	0.90019184	0.9034542	0.00032407165	278.19034	4433.6646	2.1390166	-1.4003568	2.3368e-08	0.26239133	0.4304105	-0.46527323	1.000134	0.00023455432	1.0164807	0.9999998	40.547752	630.7186	2907.0322971343994
400.01373	400.08853	975.8194	46.82177	596.0546	381.21774	1000.5402	32.09695	411.8	597.2	126000	56.525227	56.525303	0.9341815	0.9474276	0.00032132922	279.50125	4454.5557	2.1587958	-1.4892607	-3.7905576e-08	0.26282147	0.3383116	-0.4363975	1.0001343	0.00023574523	1.0136466	0.9999999	39.839508	614.9352	2954.8091747760773
495.0012	315.87695	734.025	48.658928	610.39435	385.14105	1033.5847	1.9408765	683.3333	708.5	128000	57.015858	57.01603	0.8912779	0.9181664	0.0003321876	280.3546	4468.1567	2.1327538	-1.3160915	3.426671e-08	0.26388335	0.3001782	-0.566874	1.0001357	0.00024449965	1.0164859	0.9999999	39.41286	578.7494	3003.7151601314545
536.8741	268.69376	750.14514	157.8765	781.73035	247.99567	966.7207	56.4419	768.6667	871.6	130000	57.4543	57.454308	0.89588207	0.91643	0.0003288232	282.8412	4507.786	2.1543994	-1.6260126	1.3468787e-08	0.26400408	0.34498802	-0.4874721	1.0001355	0.00024274534	1.0234352	0.9999998	39.08871	643.9844	3054.690693616867
442.50977	350.8816	857.2562	37.63575	762.9381	323.3933	1060.7278	49.198357	553.5	787.7	132000	57.866405	57.866695	0.87897146	0.8900692	0.00032460302	280.66428	4473.093	2.150741	-2.3235564	-1.8882751e-08	0.26591897	0.3515695	-0.4318221	1.0001376	0.00024895513	1.0182937	0.9999998	39.459312	685.8948	3104.0549397468567
568.44415	343.23932	841.7225	84.37292	693.265	375.60522	988.0844	65.40107	692.6667	729.6	134000	58.278492	58.278896	0.8971023	0.90684533	0.00031976894	283.96912	4525.7627	2.165018	-1.60043	2.7382374e-08	0.2663244	0.37079218	-0.43655	1.0001379	0.0002532173	1.0198042	0.9999998	38.83789	706.0589	3152.53369140625
590.1438	155.74701	745.8908	434.3968	619.9143	415.08188	1122.267	19.892681	698.0	569.1	136000	58.798046	58.798035	0.88531345	0.9008279	0.00032632053	285.90454	4556.6084	2.158359	-1.5003238	4.7525017e-08	0.26670307	0.3586449	-0.4611276	1.0001383	0.00025135255	1.0137498	0.9999999	38.39252	595.89087	3200.2079350948334
599.21826	407.58472	954.2847	28.450012	588.8264	370.60098	1204.2648	27.075754	688.6667	560.5	138000	59.237377	59.237343	0.8984822	0.90420234	0.0003250978	285.68967	4553.1855	2.1938539	-1.4087374	7.407367e-09	0.26787403	0.36352643	-0.52376026	1.0001395	0.00025800485	1.0146044	0.9999998	38.612698	614.6652	3247.362666130066
408.00436	324.78265	733.69727	32.573845	529.1316	361.46692	1089.4202	26.115515	548.75	531.4	140000	59.577145	59.57736	0.91645265	0.9073993	0.00032576223	288.64832	4600.337	2.2104156	-1.3948711	-3.3275782e-08	0.2699524	0.37666526	-0.47619402	1.0001415	0.0002723125	1.0165079	0.9999998	38.316383	651.0985	3293.699244260788
562.5524	362.17996	863.5894	53.155083	484.4291	377.64276	992.18884	34.37208	685.3333	480.1	142000	60.06903	60.069202	0.87394834	0.8856514	0.00032945845	290.1432	4624.163	2.2296786	-1.380588	-6.908923e-08	0.27076387	0.33568627	-0.5548064	1.0001425	0.0002702934	1.0236971	0.9999997	37.927174	583.5371	3339.9259049892426
907.8845	20.011536	927.89606	887.873	733.81793	361.84927	1173.472	130.20444	1000.0	649.9	144000	60.568367	60.568424	0.896792	0.8963836	0.00033066876	292.4439	4660.829	2.2186522	-1.587295	5.059056e-08	0.27201205	0.5124615	-0.6310385	1.0001439	0.00028247773	1.0170906	0.9999997	37.449387	599.37024	3388.941194295883
611.5966	355.88705	915.2282	112.16131	622.9692	381.56747	1084.098	16.526926	718.0	596.5	146000	61.05905	61.059265	0.88643914	0.899017	0.00033425802	295.2542	4705.6187	2.2341428	-1.3868134	-5.089566e-08	0.27346542	0.38068888	-0.5375944	1.0001456	0.0002881149	1.0205414	0.9999997	37.290867	667.0221	3436.115822792053
747.76917	36.913788	784.6829	710.85535	784.5586	301.47876	1045.4113	53.905636	1000.0	835.7	148000	61.553974	61.553936	0.89380866	0.8885746	0.00033823232	295.85916	4715.26	2.243583	-1.39551	1.847744e-10	0.27390987	0.37373123	-0.49395332	1.0001462	0.00028778095	1.0213636	0.9999997	36.96784	648.27	3486.6307425498962
565.4628	190.8827	817.4264	355.57584	654.9828	381.59717	1068.9369	54.263252	596.3333	664.9	150000	61.9944	61.994587	0.92435646	0.952186	0.00034473444	298.5695	4758.4556	2.265664	-1.471837	8.933246e-09	0.27439058	0.3943637	-0.5210389	1.0001465	0.00028903555	1.01809	0.9999997	36.82987	560.99884	3536.404194355011
829.7875	42.751617	872.53906	787.0358	360.1439	351.25052	968.78375	17.236153	1000.0	371.4	152000	62.48562	62.48579	0.9182903	0.90178293	0.0003359833	301.0717	4798.336	2.2776442	-1.6142479	7.0407986e-09	0.2758088	0.4534424	-0.5447415	1.000148	0.0002961214	1.022096	0.9999998	36.58969	648.2754	3581.35244846344
