AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
88.65726	22.24958	203.07553	67.046715	70.74949	6.3944535	81.480156	62.068073	18.546297	14.8	58000	38.241074	38.243004	4.7975383	4.739597	6.117302e-16	260.8269	8.411508	291.43393	229.87195	-3999.8591	63747.758	-7.722584	-46.392498	555.4152	1049.7613315582275
86.155365	17.811453	167.8499	67.14496	70.33632	3.1574588	76.618866	66.72048	18.036036	14.7	60000	38.20593	38.20759	4.846038	4.8245564	6.2693535e-16	261.50473	8.69854	289.367	232.17313	-3998.716	63729.54	-7.7327156	-38.294487	539.649	1086.5300211906433
93.042625	26.311148	199.92036	71.466324	70.2046	4.2902813	76.62747	66.667915	19.436893	14.7	62000	38.08903	38.091434	4.8027706	4.7501755	6.295763e-16	260.76718	8.463346	291.33218	231.13373	-3999.188	63737.117	-7.7639055	-38.026	548.5653	1123.9495959281921
88.14366	17.973679	187.40617	71.31637	67.92525	2.9038727	72.084564	62.173725	18.527779	14.2	64000	38.09863	38.099392	4.8143926	4.7893076	6.284889e-16	261.4531	8.407132	292.4053	235.54083	-3999.108	63735.766	-7.6169457	-39.624702	553.78076	1160.5885276794434
93.42003	27.196314	204.62112	66.550766	67.93027	4.2413435	76.63204	62.038013	19.558823	14.2	66000	38.160408	38.162983	4.8397303	4.7607403	6.180279e-16	262.3012	8.493589	292.20572	236.78915	-3999.099	63735.633	-7.705697	-39.309017	557.633	1197.1400969028473
87.45682	21.361	171.84117	66.72576	69.31331	2.4151967	71.99547	66.811	18.245455	14.5	68000	38.05854	38.060223	4.842375	4.7722883	6.191017e-16	262.60837	8.330681	296.40567	236.41331	-3998.6848	63729.05	-7.6539984	-42.06984	548.3584	1233.9847633838654
88.098495	17.340723	160.80429	66.70321	68.34884	2.2346547	71.96834	66.71262	18.425926	14.3	70000	38.031067	38.03316	4.8337274	4.747333	6.084081e-16	262.63815	8.391744	290.06638	235.44325	-3998.9976	63734.04	-7.6181736	-40.965305	572.2416	1270.8749153614044
90.00826	20.756495	158.47865	66.83073	69.32629	2.4419255	72.018456	66.7528	18.896227	14.5	72000	37.99565	37.996815	4.8657637	4.768067	6.199864e-16	262.14838	8.612977	290.98203	232.11824	-3999.5771	63743.3	-7.763537	-40.278572	567.6854	1309.3099112510681
88.683235	19.237497	160.19945	61.939598	68.305534	3.0614448	71.71723	61.978737	18.601852	14.3	74000	37.88555	37.88762	4.8270617	4.7550855	6.1298144e-16	263.11224	8.758568	292.47684	235.03609	-3998.8088	63731.055	-7.8199973	-40.573765	547.79913	1347.36528134346
88.60578	20.923344	204.43983	66.68973	71.30058	4.612367	81.73336	66.781624	18.598131	14.9	76000	37.94703	37.947983	4.854493	4.7754073	6.0958897e-16	264.1042	8.494802	293.87506	228.8827	-3999.1484	63736.465	-7.8275266	-39.761208	547.88385	1384.6099982261658
91.606445	22.690752	173.88849	66.78197	69.77664	3.1845891	76.31847	66.61271	19.201923	14.6	78000	37.899517	37.901276	4.8854494	4.8022	6.138883e-16	263.97748	8.638426	292.45874	238.9536	-3998.9448	63733.203	-7.771281	-40.374355	551.58514	1422.4110808372498
88.9483	19.846502	172.80167	66.69144	70.73743	3.6856468	76.75369	66.66764	18.574074	14.8	80000	37.90211	37.903717	4.885866	4.7804704	6.129703e-16	263.73642	8.758334	291.57217	235.8411	-3998.9988	63734.055	-7.7388544	-39.713142	554.8227	1459.45276927948
89.00645	22.057522	170.54912	71.409065	69.795555	4.9966583	76.74311	61.993908	18.527779	14.6	82000	37.93589	37.936745	4.9762464	4.8636727	6.0719223e-16	264.9188	8.728533	298.59348	239.89162	-3999.7292	63745.707	-7.509166	-39.26474	566.68274	1497.2586238384247
90.1012	22.925108	185.01866	66.78007	69.3692	2.4348934	72.07949	66.63462	18.886793	14.5	84000	37.846317	37.847637	5.0030694	4.880597	6.083807e-16	265.45218	8.756124	296.33734	237.09332	-3999.547	63742.8	-7.721698	-40.187584	573.3575	1533.9765470027924
90.28555	21.523409	166.94406	66.68818	68.81576	3.1736145	76.17602	66.64912	18.90566	14.4	86000	37.808464	37.809967	5.0104384	4.9081936	6.1426856e-16	266.8283	8.556509	302.11508	235.84192	-3999.2588	63738.195	-7.791594	-37.464752	558.5521	1570.935486793518
92.03241	24.409966	192.59673	66.67147	70.75839	4.159841	76.62236	66.72515	19.330097	14.8	88000	37.78429	37.78415	5.0557895	4.973812	6.1658143e-16	266.67926	8.808561	298.41937	240.86324	-3998.8987	63732.473	-7.785984	-39.07048	570.19214	1607.5473458766937
89.5058	19.767504	154.4222	66.73898	68.85451	2.3995638	72.07605	66.81679	18.766356	14.4	90000	37.72187	37.723	4.9770594	4.9089966	6.136291e-16	265.02975	8.463573	291.1295	239.25601	-3999.524	63742.426	-7.7699523	-39.639553	558.0886	1644.6992938518524
90.179825	22.340614	176.08517	61.981926	67.39894	2.5787458	71.705025	62.015144	18.886793	14.1	92000	37.73443	37.735447	5.027907	4.915248	6.258284e-16	265.231	8.827645	294.566	236.76451	-3998.732	63729.785	-7.694548	-39.87677	534.52924	1681.5084006786346
90.37186	19.660145	178.25356	71.538246	69.79743	4.9178724	81.48685	66.75166	18.933332	14.6	94000	37.715702	37.717316	5.0253096	4.9535403	6.219114e-16	265.3793	8.765134	291.57065	234.59377	-3999.3904	63740.28	-7.7978997	-40.118374	563.1421	1719.3555307388306
91.56403	22.89435	164.23033	66.82067	70.81103	2.9917204	76.71247	66.73176	19.26923	14.8	96000	37.687527	37.687935	5.0742373	4.9723372	6.109594e-16	266.32614	8.550543	293.65082	238.3196	-3999.0276	63734.527	-7.7769413	-38.44839	558.8354	1758.0941622257233
88.90025	19.937246	201.20804	71.440865	74.58603	2.2966888	76.65983	71.61019	18.546297	15.6	98000	37.692764	37.6928	5.043693	4.9727263	6.163507e-16	266.4743	8.733115	298.43802	238.34402	-3998.662	63728.72	-7.847786	-38.789192	550.9208	1796.022914648056
87.142586	17.385729	160.48575	66.730156	68.29109	3.033335	71.835335	62.080826	18.236364	14.3	100000	37.663486	37.663612	4.9913406	4.9286485	6.18502e-16	265.17526	8.893923	294.8453	239.36469	-3999.0972	63735.613	-7.6641817	-41.21891	556.72687	1833.018973827362
91.49414	23.625643	193.17325	66.808945	68.79815	3.2306561	76.607315	66.722374	19.134615	14.4	102000	37.60576	37.606586	5.010799	4.919182	6.1336514e-16	264.9016	8.640274	292.8603	231.00485	-3999.3943	63740.355	-7.6442604	-39.941307	568.3501	1869.8086936473846
91.81669	20.788067	150.41731	66.635735	69.353035	3.8686392	76.57821	66.73622	19.298077	14.5	104000	37.61501	37.614952	5.0534306	4.960009	6.127862e-16	265.79947	8.58289	294.81085	239.11618	-3999.2688	63738.355	-7.7951264	-41.008186	559.4071	1906.5436971187592
91.52426	24.978392	189.98323	71.45189	67.448204	3.431223	72.004036	62.063942	19.086538	14.1	106000	37.697598	37.69713	5.087721	5.007969	6.176201e-16	265.95	8.632298	299.659	235.99176	-3999.5056	63742.13	-7.8479733	-42.12058	566.05994	1943.337367773056
93.01976	23.721111	237.17676	66.69877	68.44182	3.160725	76.9144	66.66307	19.607843	14.3	108000	37.58708	37.58692	5.0417004	4.9564214	6.1103845e-16	265.13907	8.328465	294.37683	237.2831	-3999.4055	63740.555	-7.7571335	-38.449844	558.6561	1980.1279001235962
87.77729	17.94884	165.02666	66.86157	68.388374	3.0843277	76.58298	66.795616	18.458715	14.3	110000	37.708084	37.710106	5.099037	5.019844	6.1769417e-16	266.761	8.6781845	298.92258	238.81651	-3999.0564	63735.0	-7.8469734	-40.21327	549.28735	2016.8696868419647
90.6531	20.93235	167.5649	71.494606	68.40477	2.2571857	71.96009	66.76802	18.915094	14.3	112000	37.59069	37.59093	5.0719624	5.0058193	6.17576e-16	266.9814	9.03702	304.7756	233.7254	-3998.8132	63731.1	-7.9098907	-39.400375	544.5969	2055.438545227051
90.1946	22.658651	209.17798	71.592094	67.796036	2.8812747	71.71526	61.955086	18.885714	14.2	114000	37.58456	37.585835	5.0947704	5.005049	6.1771164e-16	265.59445	8.5982485	300.23306	237.22998	-3999.4224	63740.832	-7.877635	-40.64368	562.9659	2093.235207557678
92.85684	24.455318	175.50966	66.819275	67.35478	2.5449631	71.7227	62.123116	19.375	14.1	116000	37.568974	37.56899	5.0982957	5.009476	6.1248524e-16	265.16336	8.590221	296.65384	237.63934	-3999.6816	63744.98	-7.7911606	-39.64149	573.1135	2131.9238953590393
90.91528	22.254686	170.89192	66.7673	69.26762	2.2899601	71.70481	66.79832	19.066668	14.5	118000	37.657158	37.657917	5.146778	5.0670176	6.239625e-16	266.6327	8.884287	298.83453	234.8489	-3998.8792	63732.164	-7.7550707	-38.14546	553.13495	2170.237416267395
90.620674	22.739563	163.03911	66.87153	69.29885	3.8085496	76.43748	66.81221	18.952381	14.5	120000	37.619606	37.620434	5.153105	5.075417	6.208877e-16	267.07013	9.062138	298.52493	232.52202	-3998.6855	63729.06	-7.746077	-38.35398	543.219	2209.160765647888
89.002754	20.699041	180.89716	66.781944	68.34715	3.777974	76.582245	62.07094	18.592592	14.3	122000	37.6381	37.638912	5.1427765	5.071085	6.088633e-16	266.70538	8.640045	293.5217	237.73322	-3999.454	63741.324	-7.718804	-38.360176	560.9837	2247.6183247566223
90.77123	23.429863	181.89534	66.621	68.41366	2.2041028	71.915375	66.83168	18.85849	14.3	124000	37.66879	37.670013	5.1745334	5.0857363	6.127431e-16	266.45474	8.696969	298.89276	236.44543	-3999.436	63741.023	-7.8609877	-40.757164	563.9568	2285.690052509308
89.39893	19.095192	151.29454	71.4484	69.24998	2.4851277	71.9545	66.73825	18.64486	14.5	126000	37.67991	37.681095	5.1495166	5.065045	6.216995e-16	265.71912	8.689847	296.1462	231.3573	-3999.2893	63738.7	-7.831342	-39.54447	571.46185	2324.072342157364
89.19188	20.283785	176.1026	66.8859	67.90804	1.9866208	71.924484	66.82946	18.62037	14.2	128000	37.573723	37.57361	5.194784	5.0744157	6.260793e-16	266.3459	8.84913	303.97232	240.96928	-3999.7097	63745.402	-7.8798933	-38.699715	555.7526	2361.882268667221
91.83241	20.97916	197.03374	71.44081	68.88231	3.8504736	76.709724	62.27376	19.31068	14.4	130000	37.672234	37.672955	5.1273494	5.0259414	6.1908066e-16	263.9517	8.864063	294.9386	237.51593	-3999.517	63742.31	-7.8230433	-40.160645	545.7365	2399.484030008316
