AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	AverageLogP	StdLogP	MaxLogP	MinLogP	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	AverageZ	StdZ	MaxZ	MinZ	C	StepsPerSecond	Time
27.194551	19.794197	87.56621	4.682478	-1.4331961	0.20604119	-1.0289702	-1.6695179	56.342857	18.0	50000	146.34216	146.3399	54.748386	53.945553	0.00040272815	186.09537	2965.9072	3.1990592	-4.052937	-1.1897087e-08	0.4123936	0.5321821	-0.44847882	1.0003325	0.001175001	1.0510359	0.9999998	264.0152	1250.3065	879.4059026241302
51.410675	42.408768	160.68695	5.540258	-1.3746655	0.26501018	-0.8450528	-1.8197744	80.68	18.0	52000	141.07745	141.07689	49.93681	49.99911	0.0004383296	187.61583	2990.1394	3.1627138	-4.1902685	1.809001e-09	0.38784605	0.33726907	-0.36177185	1.0002939	0.0008484427	1.0161018	0.9999999	315.7117	1277.4668	914.0108833312988
71.66031	79.095314	354.83066	6.6515446	-1.2747918	0.23156552	-0.9792813	-1.5429946	92.95238	18.0	54000	128.25772	128.25775	50.739212	50.796917	0.00038046867	186.53181	2972.8618	2.8759158	-3.2207804	1.2487174e-09	0.3716624	0.23794645	-0.28570902	1.0002698	0.00069024094	1.0104163	0.9999999	370.12744	971.88324	948.9842526912689
100.459404	77.012184	254.77704	8.032497	-1.508954	0.29570243	-1.0341865	-2.0550194	129.5625	18.2	56000	117.752045	117.75332	46.503906	46.27106	0.00035091562	177.36075	2826.6973	2.7969522	-4.6627293	3.85046e-09	0.35872138	0.2230617	-0.24274424	1.0002513	0.0006115252	1.0081613	0.9999999	370.75446	1228.617	984.7573449611664
154.44968	180.82088	537.6243	12.471252	-1.3753529	0.21573034	-1.0048621	-1.7514151	116.35294	18.0	58000	110.96721	110.9684	33.68651	33.550335	0.0003081655	169.01472	2693.6838	2.8450892	-3.9942882	-1.12272796e-08	0.33690715	0.19472004	-0.29863033	1.0002217	0.00050341984	1.0077838	0.9999998	333.27606	1303.9465	1019.5435245037079
225.88232	190.85275	481.9625	7.2226677	375.607	1.4127076	376.7682	371.80444	112.5	126.9	60000	107.533066	107.53362	24.759348	24.830029	0.0003105289	160.87918	2564.0251	3.0537224	-3.9036973	1.9669533e-09	0.3193037	0.1999201	-0.40769243	1.000199	0.0004206096	1.0082277	0.9999999	299.60223	898.9964	1055.613026380539
338.0293	119.235695	419.6185	36.463093	380.3414	0.97033775	381.66687	379.2783	126.333336	129.2	62000	110.18552	110.18621	17.84481	17.83243	0.00022959485	160.5644	2559.0083	3.0753489	-4.2824016	-1.643598e-09	0.32155728	0.36697796	-0.52453035	1.0002013	0.00046248778	1.0380118	0.9999999	240.37262	1115.5266	1091.5814197063446
380.497	12.713543	410.9875	363.77444	407.66132	1.3903326	410.48297	405.40878	129.25	136.4	64000	125.834526	125.83477	6.594191	6.6491504	0.00028040822	193.1253	3077.9482	3.4703553	-3.996082	-4.9084425e-09	0.2886284	0.59466046	-0.7902174	1.0001618	0.0006406398	1.0766453	1.0	81.44383	968.40063	1127.0989401340485
389.45862	15.063912	414.82907	363.54883	415.78677	1.3365985	417.48608	413.2621	132.06667	138.4	66000	134.34058	134.34	7.193676	7.1634965	0.0003736431	220.58748	3515.6262	3.6382186	-4.349641	-1.7501414e-08	0.28207353	0.83809596	-1.2852737	1.0001541	0.00090322393	1.2403672	0.9999999	59.525143	1131.1226	1162.642117023468
401.66144	12.095404	417.40085	374.0136	425.0109	1.8913853	427.7245	421.8006	134.73334	140.9	68000	138.83902	138.83884	7.7271295	7.790906	0.0004636446	243.27405	3877.1948	3.6611536	-4.2549524	2.0368397e-08	0.28663945	1.1665354	-1.387196	1.0001594	0.0011169612	1.2706221	0.9999998	49.48883	1362.0813	1199.5297527313232
